,particle_id,distance,w,par_N,par_delta1,par_delta2,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
272,24274,169.7162324068169,0.0002557502877132861,4.109867182152605,0.3184949311253182,1.2015915641805137,7.404248769550248,-5.682553415517486,-6.081846587292359,0.1391502620163461,0.8310305088233835,169.7162324068169
273,24275,137.0359831508645,0.0002895806533166764,4.862135187094507,0.25402136350280274,1.1722967600067178,7.939242852740048,-8.179780158783164,-4.373831329139113,0.19257194454103196,0.8555400755703322,137.0359831508645
274,24276,165.45826456296047,0.00026357415050600976,3.2892036801051567,0.2954177220132029,1.2076125920542136,8.472074003208476,-6.18332763759826,-4.543393994498974,0.11886782009927571,0.8308898700548036,165.45826456296047
275,24277,166.05783358843536,0.00023354209373799967,4.39137306820882,0.4221113985157796,1.042109635918771,2.840120707872999,-5.554311860506193,-7.180246250643199,0.13558192715213416,0.9600847235537757,166.05783358843536
276,24278,172.31565557327096,0.0016349928962947529,6.7971245282649075,0.18132127230327252,1.114468364828425,6.1934507589090515,-7.683162434652256,-6.747541607851509,0.12891123865703427,0.904435765695994,172.31565557327096
277,24279,136.64405587000422,0.00023819224924716216,5.048694019643486,0.024353200667434235,1.2423641131767948,8.854040490788595,-6.977626480675208,-5.839067661829517,0.35570153769814256,0.8097418369624699,136.64405587000422
278,24280,200.95404310072985,0.00017792467608113496,3.432034745339118,0.14192503037306037,1.2152511734230114,9.037211563505055,-5.2137971017932365,-5.9175894836137735,0.37395906893379777,0.8281581619347076,200.95404310072985
279,24281,196.6858596008716,9.030260668201675e-05,3.43514703967922,0.4971231836664355,1.0990627762100806,4.068072981502501,-5.650210083604955,-5.364387450126452,0.04699950987744294,0.911256225233614,196.6858596008716
280,24282,198.18114060196996,0.00016616989113060724,4.482398281819258,0.2745636048272613,1.2325621608905701,8.21147325247781,-5.416209394907909,-7.098879217828723,0.3874750172836575,0.8104292864742432,198.18114060196996
281,24283,197.19269957660143,0.0001384849967049766,4.46080986817325,0.15763519560163905,1.1436242126445815,7.012407198464101,-5.31921392505843,-7.208851591801668,0.3921399842775458,0.8773311294452442,197.19269957660143
282,24284,200.44373543349627,0.0001912226524100971,4.087629372032854,0.043060637220981884,1.1138260622565772,7.5725440759299145,-5.159928824880053,-7.032881176733636,0.33159622016482326,0.8955622954806218,200.44373543349627
283,24285,169.6085769398384,0.0028194388937103475,3.7901648985836296,0.5857657519847707,1.1605270315716547,5.987115029585612,-6.925330631843086,-4.949028766292568,0.31217531748038735,0.8658472299216119,169.6085769398384
284,24286,181.56114580055979,0.0007251554695677246,4.701089319887041,0.16449817362469613,1.3521357078353953,9.625400226664642,-7.386661155504659,-4.913765761659809,0.24884645891807733,0.7432813309740542,181.56114580055979
285,24287,176.50952823306406,0.0003969426991523663,6.634249696668438,0.2468135619638312,1.1393189475359629,5.0501962527187825,-7.1531558138889855,-7.577827423528869,0.18140507922195523,0.8762635792919228,176.50952823306406
286,24288,135.41437189537265,0.002668115021922767,5.8477583152304575,0.2048563197911024,1.3400960122490186,8.281421690567894,-8.493479789907859,-5.0125005401087925,0.21718353187121836,0.7523934635937618,135.41437189537265
287,24289,178.89223961699264,0.00021611414831514418,3.2278248254556754,0.047439587423992,1.201074005862347,11.432921789404354,-4.566737770253263,-6.136346967201961,0.2688948453964617,0.8348097120914365,178.89223961699264
288,24290,188.15434871651777,0.000609511225787389,4.6726708807776705,0.23866379449879044,1.0960078626143805,5.199970420393841,-7.78340791966673,-4.294011970765099,0.041470588005787866,0.9127419432205826,188.15434871651777
289,24291,201.88843499326802,0.00014823398565690028,7.31459364506006,0.056832447142126825,1.1676212244935205,5.763484755135712,-7.2096397095870355,-8.330189380849541,0.45603926037566617,0.8594991265911952,201.88843499326802
290,24292,178.28033899252407,0.00039551277215570606,3.686098369700805,0.06937071974164286,1.2970802003114836,13.564749034790369,-6.022242777937169,-4.974626771484542,0.1726166331051056,0.7730514096281949,178.28033899252407
