,particle_id,distance,w,par_N,par_delta1,par_mu,par_muD1,par_muD2,par_psurv,par_r,sumstat_res
584,22586,758.5172130686651,0.0011396727214081999,3.088692576934211,0.33807528228360295,11.791672955405984,-5.654047857286529,-5.220455441838909,0.13994204286871154,0.9662201242187202,758.5172130686651
585,22587,785.4199875416315,0.00032797784210072473,3.9256266147552696,0.3480132129033262,4.368884936191056,-5.7524623447372765,-7.276300765921282,0.20060440912963962,0.9787310884308481,785.4199875416315
586,22588,858.4741751266653,0.003118028732540828,3.7290333893047345,0.48600202308389984,9.148724754612486,-4.525131130978065,-6.793028737897278,0.03590080224210326,0.9680470217982563,858.4741751266653
587,22589,792.8351191193666,0.0009630311920113205,3.2594130562474657,0.47967280748237423,4.2046374780847655,-7.726550356509299,-4.586345192807915,0.10966166512427888,0.9792372966745914,792.8351191193666
588,22590,563.8717355141016,0.0004993690724403128,3.5413778012522124,0.007645875453989245,7.396335600096275,-5.300453083370967,-7.2231848103856064,0.4532050940656852,0.9671499816746447,563.8717355141016
589,22591,801.3809049470312,0.000512649515069819,4.580705831637919,0.06159546571931154,3.559299412894288,-6.3541542628046965,-6.979554719633891,0.09331802216569936,0.9894821403983992,801.3809049470312
590,22592,701.542262349419,0.0008331835091327536,4.654531011908223,0.06876968978041997,9.884884401983449,-7.980217316772954,-4.133515309509286,0.02648084683033191,0.9631012128699364,701.542262349419
591,22593,830.0835933398881,0.0006391985166851795,3.9386483677495376,0.06221015641829626,10.404957104469856,-7.457656130289809,-4.08669666216898,0.09024534798764564,0.9752892655587757,830.0835933398881
592,22594,834.5432896648243,0.0005692132123644549,3.289627612499836,0.24005107347966628,4.608584139802938,-7.83737242527557,-5.03824722698414,0.4436025448424469,0.9755224644284943,834.5432896648243
593,22595,809.3976180537843,0.0012286816283553856,3.0674417718641416,0.22959666490844421,7.8354906298227665,-5.643312336157619,-4.80380531916538,0.012795886205064673,0.9763590560220515,809.3976180537843
594,22596,825.2175855132159,0.0013769221144329209,5.6014133637284775,0.42741713667771125,2.1313392223716017,-6.9797547486065366,-7.937751734218938,0.14736531110076131,0.994749138819108,825.2175855132159
595,22597,853.9923706030331,0.00036279731801339854,4.308428229871223,0.31354080040726817,5.095635282021716,-6.780693107172426,-6.434340510251835,0.16867241980613273,0.9769303150541637,853.9923706030331
596,22598,856.0043315006734,0.0004751982740067888,5.199488517339854,0.2582645688313707,3.1251962141991787,-6.921140158504971,-7.463268402937137,0.22170674558041967,0.9932585480300516,856.0043315006734
597,22599,849.1438362590351,0.00045862022077078254,3.5280377042373288,0.44548777554224,2.464930624022349,-7.132961412605706,-6.302034718839784,0.3078238595892371,0.9865892330224331,849.1438362590351
598,22600,854.646818522357,0.0007781583655427875,3.3839541732056273,0.18923847760002493,10.74580527112413,-5.626954510470327,-5.464392002629518,0.07047519624101264,0.9661818846775679,854.646818522357
599,22601,821.1913997262969,0.0008597433758309864,3.278055450324567,0.2501140510527261,9.186935117513556,-5.8560303572932195,-4.966888762221798,0.032708997349915746,0.9656789294287291,821.1913997262969
600,22602,748.0340012772816,0.0003129230540685547,3.7686709863918715,0.1774370085940108,4.652933352635227,-7.289126354310759,-5.9010256489453745,0.38440097979008386,0.9798962453127573,748.0340012772816
601,22603,754.0958249672266,0.0008646109753008803,4.73641296240288,0.10630910883541778,5.691724984038423,-6.587362124101062,-7.372479289304179,0.4888706656242114,0.9817935183097284,754.0958249672266
602,22604,861.7082593386835,0.0004129070569711465,3.6885641383200745,0.16342227696272354,6.576846183046171,-7.783072863815998,-4.668350522954533,0.1668073299811083,0.9668232645393727,861.7082593386835
603,22605,863.3581773756378,0.0005130086440725266,3.964377934656042,0.2547414673724271,3.0723223589114133,-5.731406623260403,-8.065598167231123,0.438060149636023,0.9883693904155357,863.3581773756378
